Destination,LatLong,NUM_PEV,Unit_Cost
Megah Bikes Jakarta Selatan,"[-6.28497277039041, 106.826555628835]",4,21000000
SiCepat Ancol Barat,"[-6.12320532017461, 106.814355055628]",4,21000000
SiCepat Bandengan Selatan,"[-6.13698780779761, 106.795119011074]",4,21000000
SiCepat Batu Tulis,"[-6.62062833699647, 106.807791020287]",4,21000000
Sicepat Bekasi Bantargebang,"[-6.33650510047331, 106.99067333712]",4,21000000
Sicepat Bekasi Juanda,"[-6.16481901317699, 106.823310124225]",4,21000000
Sicepat Bekasi Setiadarma,"[-6.26612151653476, 107.055482021522]",8,37000000
SICEPAT BEKASI SETU,"[-6.33595108170593, 107.042177845103]",4,21000000
SiCepat Bekasi Tarumajaya,"[-6.15228008991173, 106.984582684087]",4,21000000
SiCepat Bekasi Utara,"[-6.20310753961968, 107.002750191644]",4,21000000
Sicepat Bogor Barat,"[-6.56955939826079, 106.755384025103]",8,37000000
SiCepat Bogor Bojong Gede,"[-6.474298569912, 106.786915582368]",4,21000000
Sicepat Bogor Cibinong,"[-6.46502850742906, 106.838457411075]",4,21000000
Sicepat Bogor Citeureup,"[-6.47696176817578, 106.882116114382]",4,21000000
